animal,group,slice,y,x
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,881.7730964467005,1063.3497461928935
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,905.6434511434511,1111.6652806652808
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,957.9724489795918,1079.1285714285714
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,995.1530837004406,1069.3370044052863
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,1044.4539073467479,1112.676649508657
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,1044.7365853658537,1207.178536585366
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,1052.6207243460765,1155.4486921529176
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,139.4501216545012,1044.7956204379561
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,147.24754098360657,952.4770491803279
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,179.51659451659452,1099.3371813371814
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,181.51358457493427,982.0262927256792
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,175.64207650273224,1017.0245901639345
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,223.0029090909091,1024.141090909091
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,229.0246020260492,1073.1157742402315
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,261.2685370741483,1084.260521042084
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,280.7382729211087,966.7787846481876
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,284.0030303030303,1161.378787878788
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,287.24093264248705,894.1632124352332
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,285.90458015267177,1041.8167938931297
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,309.46564885496184,1082.0992366412213
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,307.62020905923345,1148.4512195121952
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,341.9182282793867,1172.4701873935264
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,333.8450980392157,1390.0843137254901
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,351.080378250591,1020.4263199369582
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,350.5012048192771,1223.1542168674698
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,383.7667706708268,961.0101404056162
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,353.28384991843393,810.2626427406199
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,363.7692307692308,1376.6483516483515
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,377.6201923076923,1200.3028846153845
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,410.6025067144136,824.3724261414503
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,419.2710280373832,863.0429906542056
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,469.9813850765105,1209.3164536993218
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,423.4194756554307,1289.116104868914
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,431.2316602316602,1024.6023166023167
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,439.86186770428014,1278.943579766537
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,440.02157164869027,1337.4098613251156
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,455.45353982300884,806.7477876106195
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,460.8487394957983,585.5861344537815
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,491.40390070921984,1000.4397163120567
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,475.8212927756654,1125.6007604562737
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,484.9872611464968,816.3503184713376
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,498.0754189944134,606.0307262569833
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,504.0245901639344,1154.7459016393443
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,519.0554197229014,1264.606356968215
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,504.8,1479.2771929824562
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,519.2212389380531,687.3362831858407
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,518.6348408710218,594.0586264656616
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,525.8516129032258,565.8774193548387
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,530.1550218340611,1485.03711790393
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,536.994750656168,1054.3622047244094
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,546.5730337078652,1204.438202247191
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,564.290611028316,891.1862891207154
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,616.9631344612644,1205.1720391807658
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,564.89453125,1272.740234375
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,569.874213836478,1300.3066037735848
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,574.1028138528138,1105.7234848484848
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,618.4723515174084,1042.5157326382425
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,594.471635883905,685.646437994723
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,610.7743254292723,768.1757972199509
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,626.1015169194866,814.9148191365227
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,641.4220705346985,1144.090443686007
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,653.304721030043,903.5793991416309
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,681.3239634574842,1039.3106113843992
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,694.2089485458613,1178.9955257270694
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,690.9566101694916,1569.3433898305084
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,695.5720930232558,1252.3813953488373
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,737.2753623188406,1076.1101449275363
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,771.1296768707483,1111.4549319727892
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,740.8796185935638,1345.2014302741359
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,774.2542372881356,1136.3559322033898
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,881.7434243176178,1079.2794044665013
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,883.1056179775281,1100.4494382022472
rat12.10,mC,DCPP_12.10.1_10x_mCherry_7.21.22.jpg,939.5469613259669,1077.5276243093922
